Category,Location,Investors
Consumer Internet,Mumbai,
Consumer Internet,Bengaluru,Fung Strategic Holdings
Consumer Internet,Gurugram,MakeMyTrip Limited
Consumer Internet,Bengaluru,Vertex Ventures
Consumer Internet,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan"
Consumer Internet,Bengaluru,Flipkart
Ed-Tech,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others"
Fin-Tech,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO)
Consumer Internet,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund"
Technology,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator"
Consumer Internet,Ahemadabad,
Consumer Internet,Gurugram,Denlow Investment Trust and Beenext
Finance,Bengaluru,
Consumer Internet,Mumbai,Alteria Capital
Technology,Bengaluru,CDC Group plc\\xc2\\xa0
Consumer Internet,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment"
Consumer Internet,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network"
Fin-Tech,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures"
Healthcare,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital"
IT,Bengaluru,Accel (formerly known as Accel Partners)
Finance,Mumbai,
Technology,Gurugram,Y Combinator
Consumer Internet,Gurugram,Ajay Relan and Vinay Mittal
IT,Pune,MDI Ventures & Telkom Indonesia
Consumer Internet,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital"
Consumer Internet,Gurugram,Info Edge (India) Ltd and Temasek
Consumer Internet,Bengaluru,Info Edge (India) Ltd
Consumer Internet,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos"
Consumer Internet,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others"
Healthcare,Delhi,Venture Catalysts
Finance,Bengaluru,ResponsAbility
Consumer Internet,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma"
Consumer Internet,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd
IT,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others"
Healthcare,Bengaluru,Brand Capital and Others
Healthcare,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others."
Finance,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital"
Consumer Internet,Gurugram,"Kingsway FCI Fund, KCK Global & Others"
Consumer Internet,Bengaluru,Omidyar Network & Others
Consumer Internet,Mumbai,"TPG Growth, The Rise Fund & Others"
Consumer Internet,Bengaluru,
Consumer Internet,Mumbai,PayU & Others
Technology,Bengaluru,
Technology,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar."
Technology,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others"
Ed-Tech,Bengaluru,Gray Matters
Consumer Internet,Pune,Fairfax
Finance,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency"
Consumer Internet,Bengaluru,"BeeNext , WEH Ventures and Sprout Ventures"
Technology,Bengaluru,Ventureast and Exfinity
IT,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others"
Technology,Bengaluru,MakeMyTrip
Fin-Tech,Hyderabad,Lindwall Family Investments LLC (LFI)
Consumer Internet,Gurugram,Amazon Alexa Fund & Dentsu Ventures
Consumer Internet,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others"
Fin-Tech,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners"
Healthcare,Hyderabad,Kantilal Patel
Finance,Gurugram,"Sabre Partners, Puneet Dalmia & Others"
Technology,Bengaluru,Aspire Logistics LLC
E-Commerce,Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem"
Finance,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala."
Healthcare,Mumbai,NB Ventures and Others
Finance,Bhubneswar,Oman India Joint Investment Fund (OIJIF)
Consumer Internet,Bengaluru,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway"
Finance,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures"
Healthcare,Hyderabad,Mumbai Angels Network
Finance,Mumbai,Alpha Capital
E-Commerce,Chennai,Paragon Partners
Consumer Internet,Bengaluru,Saama Capital and Sequoia Capital
Healthcare,Gurugram,"Spiral Ventures, Subho Ray and Samir Kumar"
