Category,Location,Investors
Technology,Mumbai,Kalaari Capital
Consumer Internet,Hyderabad,Sarath Sura
eCommerce,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon"
Technology,Mumbai,Indian Angel Network
Consumer Internet,Gurgaon,Sanjiv Rai
Consumer Internet,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore"
eCommerce,Bangalore,Axiata Digital
Real Estate,Jaipur,"Ankit Maheshwari, Anand Singh"
Consumer Internet,Gurgaon,BlackJag Partners
eCommerce,Siliguri,Cameron Jones
Consumer Internet,Pune,"Ritesh Dwivedy, Priti Padhy"
Technology,Mumbai,3 undisclosed HNIs
eCommerce,Mumbai,Ratan Tata
Consumer Internet,New Delhi,"CIO Angel Network, Indian Angel Network"
Technology,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna"
FMCG,Mumbai,Edelweiss Private Equity
Technology,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham"
eCommerce,New Delhi,TVS Automobile Solutions Ltd
Technology,New Delhi,TVS Automobile Solutions Ltd
Consumer Internet,Chennai,TVS Automobile Solutions Ltd
Consumer Internet,Jaipur,50K Ventures
eCommerce,Mumbai,undisclosed investor
Consumer Internet,,Viridian Capital
Consumer Internet,New Delhi,EVC Ventures
Food & Beverage,New Delhi,Valpro Capital and existing investors
Logistics,New Delhi,MCube8
Technology,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney"
Consumer Internet,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar"
Consumer Internet,Bangalore,Accel Partners India
Consumer Internet,Vadodara,Indian Angel Network
eCommerce,Bangalore,IvyCap Ventures and Unicorn India Ventures
Consumer Internet,New Delhi,Info Edge (India) Ltd
Consumer Internet,Gurgaon,Info Edge (India) Ltd
Consumer Internet,Bangalore,Atul Ingle
Consumer Internet,USA,Guy Oseary
eCommerce,Bangalore,Sequoia Capital
Technology,Mumbai,Nimmagadda Prasad
Consumer Internet,New Delhi,"Ravi Adusumalli, SAIF Partners"
Technology,Bangalore,Infuse Ventures
Technology,Bangalore,"New Enterprise Associates (NEA), Blume Ventures"
eCommerce,Bangalore,BetOnIndia Technology Pvt Ltd
Consumer Internet,Bangalore,"Sanjay Verma, Amit Khanna (LetsVenture)"
eCommerce,New Delhi,Undisclosed investor
Consumer Internet,New Delhi,Hamraj Kumar
Consumer Internet,Ahmedabad,Timbru Ventures
Consumer Internet,Mumbai,Swan Angel Network
Consumer Internet,Bangalore,Idein Ventures
Consumer Internet,Mumbai,"Concur Technologies, Gund Investment"
Consumer Internet,Noida,IndiaMart
Technology,Bangalore,Bitkemy Ventures
Consumer Internet,Mumbai,Unicorn Venture
Technology,Bangalore,CP Bothra
FMCG,Chennai,The Chennai Angels
eCommerce,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners"
Consumer Internet,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi"
Technology,New Delhi,Saif Partners
Consumer Internet,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora"
Technology,Gurgaon,Indian Angel Network
Consumer Internet,New Delhi,Rise India
Consumer Internet,Mumbai,"Jitendra Gupta, Pankaj Tripathi"
Consumer Internet,Bangalore,Nexus Venture Partners
Technology,Bangalore,Kalaari Capital
Logistics,Mumbai,GVFL
Others,Mumbai,Mayfield Ventures
Others,New Delhi,Undisclosed investor
Consumer Internet,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia"
Consumer Internet,Bangalore,Undisclosed investor
Consumer Internet,New Delhi,"Kanodia family, Amit Banka"
Consumer Internet,Bangalore,GVFL Ltd
Consumer Internet,Gurgaon,"Accel Partners, RB Investments"
Technology,Ahmedabad,Undisclosed investors
Consumer Internet,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient"
Consumer Internet,New Delhi,Sanjeev Sinha
Consumer Internet,Hyderabad,Soniks Consulting
Consumer Internet,Bangalore,Undisclosed Investor
eCommerce,New Delhi,vCommission
Technology,Kolkata,Harsh Vardhan Hada
Consumer Internet,Mumbai,Piyush Jain
eCommerce,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar"
Consumer Internet,Mumbai,Brand Capital
Consumer Internet,Bangalore,Aarin Capital
Consumer Internet,Bangalore,"Omidyar Network, Accel Partners & existing investors"
Food & Beverage,Gurgaon,Carpediem Capital & Others
Consumer Internet,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,"
Technology,New Delhi,The Chennai Angels
Consumer Internet,Pune,Ankush Mehta
Technology,Chennai,StartupXseed Ventures
Consumer Internet,Gurgaon,"GMO Payment Gateway, MediaTek"
Consumer Internet,New Delhi,Brand Capital
Consumer Internet,Bangalore,Undisclosed investors
Consumer Internet,Vadodara,Undisclosed investors
Consumer Internet,Mumbai,"Shruth & Smith Group, Hermes Group"
Education,Mumbai,Blume Ventures
Consumer Internet,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia"
eCommerce,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan"
Technology,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives"
Technology,Chennai,Grex.in
Technology,Pune,Grex.in
eCommerce,Hyderabad,Undisclosed investors
Technology,Singapore,Kalaari Capital Accelerator Program
Technology,New Delhi,Kalaari Capital Accelerator Program
Consumer Internet,Bangalore,Kalaari Capital Accelerator Program
Technology,New Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network"
Consumer Internet,Bangalore,Group of undisclosed Angel Investors & HNIs
Education,Lucknow,MoMagic Technologies
eCommerce,Bangalore,Rajul Garg & Others
Logistics,Hyderabad,Undisclosed investors
Technology,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat"
Consumer Internet,Bangalore,"Roopak Saluja, Vishal Khare"
eCommerce,New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta"
Consumer Internet,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures"
Consumer Internet,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham"
Technology,Chennai,NanoHoldings
eCommerce,Mumbai,Undisclosed investors
Consumer Internet,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners"
Consumer Internet,Bangalore,Undisclosed Investors
Consumer Internet,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain"
Technology,Mumbai,Khazanah Nasional Berhad
Consumer Internet,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama"
Consumer Internet,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures"
Healthcare,Hyderabad,GROUPE SOS
Consumer Internet,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal"
Consumer Internet,Kanpur,ah! Ventures
Consumer Internet,Bangalore,"Phanindra Sama, Raghunandan G,"
Logistics,Gurgaon,Anurag Chauhan
Consumer Internet,Chennai,"Matrix Partners, Nexus Ventures"
Logistics,Mumbai,Undisclosed Investors & Tamarind Family Private Trust
eCommerce,Delhi,"S Chand, AdvantEdge Partners"
Consumer Internet,Mumbai,"Kinnevik Group, Rocket Internet"
Consumer Internet,Mumbai,Rata Tata
Consumer Internet,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners"
eCommerce,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori"
Consumer Internet,Bangalore,YourNest Angel Fund
Consumer Internet,Trivandrum,Katabole Technology Venture
Education,Pune,Subramanya SV
Education,Mumbai,"Kaizen Management Advisors, DeVry Inc"
Reality,Bangalore,Blume Ventures
Consumer Internet,Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary"
Consumer Internet,Mumbai,Undisclosed investors
Technology,Bangalore,Ratan Tata
Consumer Internet,New Delhi,Undisclosed HNIs
Consumer Internet,New Delhi,"Chatsworth Management, ITW Digital"
Consumer Internet,Noida,Undisclosed Investors
Consumer Internet,Gurgaon,Pradeep Reddy Kamasan
Consumer Internet,New Delhi,vCommission
Consumer Internet,Gurgaon,MCube Capital Advisors Pvt Ltd
Consumer Internet,Bangalore,Undisclosed HNIs
Consumer Internet,New Delhi,Indian Angel Network
Healthcare,Bangalore,Gray Matters Capital
Technology,Pune,Sudhir Mehta
Consumer Internet,New Delhi,Anand Mahindra
Consumer Internet,Bangalore,"FF Angel, Sequoia Capital"
Healthcare,New Delhi,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners"
Consumer Internet,New Delhi,MoMagic Technologies
Consumer Internet,Bangalore,"Kunal Shah, Sandeep Tandon"
Technology,Mumbai,"Anirudh Damani, Vikram Lakhotia"
Consumer Internet,New Delhi,Ashish Gupta and other undisclosed investors
eCommerce,New Delhi,HT Media Ltd
Consumer Internet,Mumbai,NSI Infinium Global Pvt. Ltd
eCommerce,Gurgaon,HBM Healthcare Investments
Food & Beverage,Gurgaon,Ashish Gupta
Consumer Internet,Mumbai,Undisclosed Investors
Consumer Internet,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors"
Consumer Internet,Delhi,Raman Roy
Consumer Internet,Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry"
Consumer Internet,Mumbai,Vineet Singh
Food & Beverage,Pune,Equentia Natural Resource & Other undisclosed investors
Consumer Internet,Mumbai,Xiaomi Inc
Consumer Internet,Bangalore,N.S. Raghavan Centre for Entrepreneurial Learning
Healthcare,Bangalore,Mukesh Bansal
Technology,Mumbai,Times Internet Ltd
Consumer Internet,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH"
Logistics,Gurgaon,DTDC Express Ltd
Consumer Internet,Bangalore,Ninestarter
Consumer Internet,Mumbai,L\\xe2\\x80\\x99Occitane
Consumer Internet,Bangalore,Axilor Ventures
Consumer Internet,London,Nazara Technologies Pvt Ltd
Consumer Internet,New Delhi,"IDG, Indian Angel Network"
Education,Chennai,Villgro
Consumer Internet,New Delhi,"Mahendra Patel, Nilender Chauhan"
Consumer Internet,Mumbai,Rattan Chadha
eCommerce,New Delhi,Wingify
Consumer Internet,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery"
Consumer Internet,Gurgaon,Prashant Puri
Consumer Internet,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai"
Consumer Internet,Mumbai,Shaan
Finance,Mumbai,"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah"
Consumer Internet,,Anil Kapoor
Consumer Internet,New Delhi,"Pravin Khandelwal, Yatin Kumar Jain"
Consumer Internet,Pune,Dr. Aniruddha Malpani
eCommerce,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur"
eCommerce,Bangalore,"Prime Venture Partners,"
Consumer Internet,New Delhi,StartUp Equity Partners
Technology,Mumbai,"Rajeev Agrawal, Prashant Gooty"
Consumer Internet,Noida,"Ram Shriram, Neeraj Arora, Puru Vashishtha"
Consumer Internet,New Delhi,Mount Nathan Advisors
Consumer Internet,Jaipur,"Mahavir Pratap Sharma, Ajay Data, Yogesh Chaudhary, Sanjay Phophaliya, Siddharth Agarwal, Kamal Kothari"
Consumer Internet,New Delhi,Naturals Salon Chain
eCommerce,Jaipur,"Vivek Nathani, Yogesh Chaudhary, Mahavir Pratap Sharma, Kamal Kothari, H C Jain"
Consumer Internet,Noida,Undisclosed Investors
Consumer Internet,Bangalore,Tiger Global
Consumer Internet,Bangalore,Vijay Shekhar Sharma
Consumer Internet,Bangalore,"Pawan Munjal, AdvantEdge Partners, Astarc Ventures"
eCommerce,Bangalore,Ajay Data & other HNIs
eCommerce,Gurgaon,Rajan Anandan
Consumer Internet,Jaipur,"Mitin Patel, Gaurav Agarwal"
Consumer Internet,Chandigarh,Paytm & existing investors
Auto,Pune,"Bhavish Aggarwal, Ankit Bhati"
eCommerce,Noida,"Stanford Angels, LetsVenture, Chennai Angels, Hyderabad Angels, Mumbai Angels"
Consumer Internet,Chennai,ah! Ventures
eCommerce,New Delhi,Ratan Tata
Consumer Internet,New Delhi,Man Capital
Consumer Internet,Bangalore,RN Agarwal
Consumer Internet,Bangalore,India Educational Investment Fund
Consumer Internet,Bangalore,Brand Capital
eCommerce,Gurgaon,"Maverick Capital Ventures, Sequoia Capital, Omidyar Network"
Consumer Internet,New Delhi,"YourNest Angel Fund, Rajul Garg"
Consumer Internet,New Delhi,Undisclosed Angel investors & HNIs
Consumer Internet,Mumbai,"Blume Ventures, Adil Allana, Aprameya Radhakrishna, Gautam Ivatury, Signal Point Partners"
eCommerce,Jaipur,Ajay Data & undisclosed HNIs
Consumer Internet,New Delhi,"M&Y Partners, SVG Media, Anthil Ventures & others"
Auto,Bangalore,GirnarSoft
eCommerce,Bangalore,Mayfield India II Management Ltd
Consumer Internet,Bangalore,"Inventus Capital Partners, HR Fund"
Technology,Pune,"NTT Finance, Telephone Corporation"
Consumer Internet,New Delhi,Indian Angel network
Consumer Internet,Hyderabad,50K Ventures
Consumer Internet,Pune,Blume Ventures
Food & Beverage,Bangalore,"GrowthStory, Apurva Salapuria, Hitesh Oberoi, Sidharth Pansari, Nirupa Shankar"
Consumer Internet,Mumbai,"IDFC SPICE Fund, Micromax Informatics"
Consumer Internet,Bangalore,"Max Levchin, Scott Banister"
eCommerce,Gurgaon,Bertelsmann India Investments
Consumer Internet,Gurgaon,EVC Ventures
Consumer Internet,,"Farooq Oomerbhoy, Anupam Mittal, Anand Mittal, Ravi Garikipati, Vibhu Garg, Singapore Angel Network, Konglo Ventures"
Consumer Internet,Noida,"Nandan Nilekani, Helion Ventures, Omidyar Networks, Blume Ventures"
Consumer Internet,New Delhi,Undisclosed
Consumer Internet,Mumbai,Axilor Ventures
Consumer Internet,Mumbai,Blume Ventures & Other unnamed Investors
Consumer Internet,Bangalore,"Rebright Partners, Anand Rajaraman, Venky Harinarayan"
Consumer Internet,Mumbai,"RB Investments, Fundnel"
eCommerce,New Delhi,vCommission
Consumer Internet,Bangalore,Unitus Seed Fund
Consumer Internet,Bangalore,RoundGlass Partners
Consumer Internet,Mumbai,S Chand & Co
Technology,Bangalore,"Lip-Bu Tan, Michael Marks, Nicolas Braithwaite"
Consumer Internet,Noida,YourNest Angel Fund
Consumer Internet,Seattle / Bangalore,"Kludein LLC\\nPhanindra Sama, Narayan Ramachandran, Pranav Pai"
Technology,Bangalore,"Nandan Nilekani, Accel Partners"
Technology,Mumbai,Dino Morea
Education,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna"
Consumer Internet,New Delhi,Undisclosed investor
Consumer Internet,Bangalore,Matt Glickman
ECommerce,Chennai,"YourNest Angel Fund,"
Technology,Pune,"Sudhir Mehta, Anoop Hingorani"
Consumer Internet,Kolkata,IvyCap Ventures
Consumer Internet,New Delhi,Manoj Kumar & Other undisclosed investors
Consumer Internet,Gurgaon,"Daman Soni, Rajat Gupta & Others"
ECommerce,Mumbai,Mohit Gulati
Healthcare,Gurgaon,Artiman Ventures
Consumer Internet,Noida,"Ruchirans Jaipuria, Anuj Sanghi"
ECommerce,Bangalore,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart"
Consumer Internet,Bangalore,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla"
Consumer Internet,New Delhi,Unicorn Ventures
ECommerce,Bangalore,"Naveen Tewari, Abhay Singhal, Amit Gupta, Piyush Shah, Raghunandan G, Rajiv Mehta"
Consumer Internet,Bangalore,Undisclosed private investors
Technology,New Delhi,Matrix Partners India
Consumer Internet,Bangalore,Vijay Krishna Yadav
Technology,Mumbai,"Apoorv Ranjan Sharma, Daud Ali and others"
Consumer Internet,Bangalore,Prime Venture Partners
ECommerce,New Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups"
Consumer Internet,Bangalore,"Aspada Investment Advisors, Blume Ventures."
ECommerce,Noida,Amadeus Capital
Technology,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India"
Real Estate,Bangalore,"Vipul Parekh, ajesh K Murthy,"
Consumer Internet,Hyderabad,PurpleTalk Inc
Consumer Internet,Pune,"Amit Choudhary, Anuj Puri"
Consumer Internet,Mumbai,Dheeraj Jain & Other angel investors
Consumer Internet,Gurgaon,"Puneet Gupta,"
Food & Beverage,New Delhi,Undisclosed investors
ECommerce,Mumbai,"Raj Gala Shah, Zaheer Memon"
Technology,Pune/Seattle,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India"
ECommerce,New Delhi,Mohit Goel
Technology,Ahmedabad,Janak Parikh
ECommerce,Bangalore,"Hari Krishna, Ajay Modani, Dr V Ravinder, Anirudh Rastogi, Abhishek Jain, Rakesh Gakhar, Rajeev Mudumba, Nagendra Prasad Bhanuprakash"
Logistics,New Delhi,Agarwal Movers Group
Consumer Internet,Ahmedabad,Hemang Sahani
Consumer Internet,Bangalore,"S Chand and Co Pvt Ltd, Blume Ventures"
Technology,Pune,Funding through 1Crowd platform
Consumer Internet,Gurgaon,"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare"
Consumer Internet,Bangalore,"Chandrashekar Tallapragada, Pankaj Kapoor"
Consumer Internet,Bangalore,"Kris Gopalakrishnan, Atul Nishar"
Consumer Internet,Mumbai,Beenext
Consumer Internet,Bangalore,"Zishaan Hayath, Abhishek Goyal, Arjun and Rohan Malhotra, Harpreet Singh Grover, Gagan Dugal"
Healthcare,Noida,Undisclosed investors
Consumer Internet,Gurgaon,Swastika Company Ltd
Consumer Internet,Mumbai,Undisclosed investors
Consumer Internet,Mumbai,"Rannvijay Singh, Anita Hassanandani"
Food & Beverage,Hyderabad,Sashi Reddi & Other unnamed investors
Consumer Internet,New Delhi,Naveen Gupta
Consumer Internet,Gurgaon,Unitus Seed Fund
Consumer Internet,Jaipur,Google Capital
Consumer Internet,Gurgaon,CASHurDRIVE Marketing Pvt Ltd
Consumer Internet,Bangalore,"Sequoia India, Sofina"
eCommerce,Bangalore,Abraaj Group
Consumer Internet,Bangalore,"Indian Angel Network, Tracxn Labs & Others"
Technology,Bangalore,Sachin Tendulkar
Consumer Internet,Jaipur,"Rajul Garg, Alok Mittal, Kunal Shah, Rishi Mandawat, Dheeraj Jain, Sandeep Tandon, Dexter Angel Circle"
Consumer Internet,Hyderabad,"Pix Vine Capital, Infocomm Development Authority of Singapore"
Consumer Internet,Ahmedabad,GAIN
Technology,Hyderabad,"Devidas Desai, Vipul Gautam, Singapore Angel Network"
Technology,Chennai,"Indian Angel Network,"
eCommerce,New Delhi,"500 Startups, Littlerock, Singularity Ventures"
Consumer Internet,Hyderabad,"BitChemy Ventures, Maheshwari Investments Pvt Ltd, Anshoo Gaur, Rama Krishna Reddy, Sandeep Seerapu"
Consumer Internet,,"Bhavish Aggarwal, Binny Bansal,\\xc2\\xa0 Rajan Anandan, Mekin Maheshwar, Sunil Kalra, Anupam Mittal, Krishna Mehra, Singapore Angel Network"
Consumer Internet,Bangalore,Broadbean Capital services
Consumer Internet,Gurgaon,"Bharanidharan Viswanathan, Sanjiv Mittal, Shobhit Shukla, Rahul Agarwal"
eCommerce,Noida,Undisclosed investors
Consumer Internet,Bangalore,Robin Utthappa
Consumer Internet,New Delhi,"Rajul Garg, Daljit Singh, Aditya Vij, Kishore Kumar, Shuchin Bajaj"
Finance,Chennai,Sarva Capital
Consumer Internet,New Delhi,undisclosed investors
Consumer Internet,Chennai,Jay Vijayan
Technology,Gurgaon,SoftBank Ventures Korea
Healthcare,Bangalore,"Alok Mittal, Amit Gupta, Anuj Srivastava, Himanshu Aggarwal, Raghunandan G, Puneet Agarwal"
Consumer Internet,Mumbai,"Mohandas Pai, Hiro Mashita, Singapore Angel Network, 500 Startups, Rajan Anandan, Ajay Sarupria"
Healthcare,Hyderabad,Indian Angel Network
ECommerce,New Delhi,Snow Leopard Technology Ventures
Technology,Pune,"Wipro Ventures,\\xc2\\xa0 Lumis Partners"
Consumer Internet,Bangalore,"T V Mohandas Pai,\\xc2\\xa0 Aarin Capital"
Consumer Internet,Bangalore,Multiple investors through Ten Minute Million competition
Consumer Internet,,Multiple investors through Ten Minute Million competition
Technology,Gurgaon,Multiple investors through Ten Minute Million competition
Technology,Mumbai,Multiple investors through Ten Minute Million competition
Consumer Internet,Pune / Dubai,Dunamis Ventures Pte Ltd.
ECommerce,New Delhi,Green House Ventures (GHV)
Consumer Internet,Noida,Green House Ventures (GHV)
Consumer Internet,Bangalore,Ingram Content Group
ECommerce,New Delhi,Oranda Global & Others
Education,Bangalore,"TV Mohandas Pai, Aarin Capital"
Technology,Bangalore / SFO,"Sherpa Capital, Nyca Partners and Thomvest Ventures"
ECommerce,New Delhi,"Vandana Luthra,"
Consumer Internet,Mumbai,Nexus Venture Partners
Real Estate,Bangalore,"Raghunandan G, Venturesity, Arihant Patni"
Ecommerce,Vadodara,"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra"
Consumer Internet,Pune,Undisclosed investors
Consumer Internet,Varanasi,Undisclosed investors
Ecommerce,New Delhi,Undisclosed investors
Healthcare,New Delhi,"Mohit Goel, Vinod Jain & Others"
Ecommerce,New Delhi,Ratan Tata
Consumer Internet,Gurgaon,Green House Ventures (GHV)
Consumer Internet,New Delhi,Green House Ventures (GHV)
Consumer Internet,Mumbai,Sixth Sense Ventures
Consumer Internet,Jaipur,"Vinod Bansal, Sanjeev Singhal"
Consumer Internet,Mumbai,"Mahesh Parasuraman, Rahul Gautam & Others"
ECommerce,Pune,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital"
Healthcare,New Delhi,Ratan Tata
Technology,Bangalore,"Endiya Partners, Mekin Maheshwari, Rajesh Sawhney"
Consumer Internet,New Delhi,"India Ventures, Aarin Capital & Others"
Technology,Mumbai,Edelweiss Financial Services
Consumer Internet,Mumbai,Lion Ventures
Consumer Internet,Noida,Aqeel Ahmed
Consumer Internet,Bangalore,undisclosed investors
Technology,Pune,undisclosed investors
Technology,Bangalore,Manipal Global Education Services
Consumer Internet,Indore,"Atul Jain, Anil Gelra, Jaikumar Nair"
Consumer Internet,Gurgaon,Jaideep Mehta
eCommerce,Gurgaon,Sachin Dalal
Technology,Bangalore,Jayabalan Subramanian
Food & Beverage,New Delhi,"Alok Rawat, Grey Orange Robotics"
Technology,Mumbai,Sunil Mehta
Consumer Internet,Mumbai,Kalaari Capital
Consumer Internet,Mumbai,"Aspada Advisors, IDG Ventures,\\xc2\\xa0 Inventus Capital"
eCommerce,New Delhi,Ontario Teachers\\xe2\\x80\\x99 Pension Plan & Others
Consumer Internet,Chandigarh,Saumya Tandon
Technology,Bangalore,Ratan Tata
Consumer Internet,Gurgaon,Mukesh Kumar Gupta
Consumer Internet,Bangalore,"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah"
Finance,Bangalore,"Blume Ventures,\\xc2\\xa0 Tracxn Labs"
Consumer Internet,New Delhi,Ranjit Singh
Consumer Internet,Bangalore,"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor"
Technology,Bangalore,Unitus Seed Fund
eCommerce,Ahmedabad,"Virendra Shekhawat, Deepak Chokhani, Yogesh Patel & Others"
eCommerce,Pune,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa"
Consumer Internet,Pune,Vishwadeep Bajaj & Others
Consumer Internet,Bangalore,"Rajnish Sinha, Prijit Debnath, Kanchan Ghoshal"
Consumer Internet,Mumbai,Lead Angels
Technology,New Delhi,"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others"
Consumer Internet,Bangalore,"Dr Nandish Domlur, Amit Sandill"
Consumer Internet,Mumbai,Tiger Global
Education,New Delhi,Michael & Susan Dell Foundation
Technology,Hyderabad,Ratan Tata
Consumer Internet,New Delhi,"Lightspeed Venture Partners, K Ganesh"
Consumer Internet,Ahmedabad,Undisclosed investor
Consumer Internet,Gurgaon,"Sujal Shah, Dino Morea"
Technology,Bangalore,"Nandan Nilekani, Mohandas Pai, Neeraj Arora, Anand Rajaraman, Girish Mathrubootham, Aneesh Reddy & Teruhide Sato"
ECommerce,New Delhi,Farooq Oomerbhoy & Other angel investors
Technology,Bangalore,Qualcomm (Through QPrize Contest)
ECommerce,New Delhi,Aavishkaar
Consumer Internet,Bangalore,Chennai Angels
Consumer Internet,New Delhi,"Mohandas Pai, Varun Aggarwal"
Consumer Internet,Gurgaon,Purvi Ventures & Others
Consumer Internet,Bangalore,3 undisclosed investors
Consumer Internet,Bangalore,Nitin Bagmane & Other undisclosed investors
Consumer Internet,New Delhi,Lightspeed India
Consumer Internet,New Delhi,Undisclosed investor
Technology,Bangalore,"Sachin Bansal, Binny Bansal, Accel Partners & Others"
Consumer Internet,Mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India"
Consumer Internet,New Delhi,Indian Angel Network
Consumer Internet,New Delhi,"Omidyar Network,\\xc2\\xa0 Vikram Lal, Abhijit Bhandari, Mahesh Murthy, Shashank Bhagat"
Consumer Internet,Gurgaon,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank"
Technology,Kanpur,"StartupXseed Ventures, The Phoenix Fund and others"
Consumer Internet,Bangalore,Yajnanarayana Kammaje
Consumer Internet,Bangalore,Tracxn Syndicate
Consumer Internet,Bangalore,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners"
Consumer Internet,Hyderabad,"Varun Aggarwal, Suresh Venkat, Raj Y"
Consumer Internet,Noida,Swastika Company Ltd
Consumer Internet,Bangalore,Vishal Bali & Others
eCommerce,Gurgaon,Matrix Partners India
Consumer Internet,Bangalore,"Calcutta Angels, Lead Angels & Others"
Consumer Internet,Bangalore,"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande"
eCommerce,New Delhi,Undisclosed HNIs
Technology,New Delhi,Kapil Goel
Consumer Internet,Mumbai,"Insitor Impact Asia Fund, Acumen Fund"
Consumer Internet,Bangalore,Ratan Tata
eCommerce,Mumbai,Eduardo Saverin
Consumer Internet,Bangalore,Undisclosed investors
ECommerce,New Delhi,"Rajan Anandan, Pramod Bhasin, Siddharth Pai, TV Mohandas Pai, Manvinder Singh Banga"
Consumer Internet,Mumbai,Undisclosed Investors
ECommerce,Gurgaon,Ratan Tata
Education,New Delhi,MeritTrac
Food & Beverage,New Delhi,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal"
Food & Beverage,Ahmedabad,Centre for Innovation Incubation and Entrepreneurship (CIIE)
